StartupID,Industry,Age_Months,Funding_Amount ($M),Monthly_Revenue ($K),User_Growth_Rate (%),Tech_Stack_Complexity,Growth_Potential
98,E-commerce,30,5.77,66.65,17.76,3,Medium
99,SaaS,34,0.5,5.0,1.75,3,Low
100,SaaS,29,0.5,69.42,25.73,5,High
101,SaaS,22,10.41,19.56,25.47,3,High
102,HealthTech,26,6.09,54.36,12.05,2,Medium
103,E-commerce,14,7.17,57.08,15.17,9,Medium
104,FinTech,52,25.38,56.98,14.06,2,Medium
105,AI/ML,37,0.5,35.6,1.18,4,Low
106,SaaS,35,0.72,178.425,30.46,8,High
107,E-commerce,35,9.67,11.96,7.33,9,Low
108,EdTech,53,2.8,10.13,7.4,7,Low
109,SaaS,45,10.98,149.47500000000002,13.5,3,Medium
110,SaaS,39,25.79,43.305,24.96,9,High
111,E-commerce,14,6.97,21.66,9.09,3,Low
112,SaaS,5,1.52,178.635,4.52,5,Low
113,AI/ML,3,11.45,79.57,6.13,11,Low
114,EdTech,35,3.8,32.17,19.24,3,Medium
115,HealthTech,42,10.19,56.53,36.9,7,High
116,AI/ML,12,12.53,108.38,2.4,3,Low
117,EdTech,45,9.72,70.75,2.03,4,Low
118,SaaS,46,10.45,132.87,0.13,4,Low
119,AI/ML,31,11.54,74.14,1.37,9,Low
120,FinTech,15,41.004000000000005,77.91,27.06,8,High
121,EdTech,14,7.98,51.19,29.95,1,High
122,AI/ML,33,11.02,50.34,16.78,7,Medium
123,E-commerce,48,16.93,58.01,10.32,7,Medium
124,SaaS,4,13.77,108.045,32.91,4,High
125,SaaS,53,7.13,62.25,16.74,4,Medium
126,E-commerce,52,17.21,53.66,25.89,4,High
127,EdTech,37,3.03,40.69,9.84,6,Low
128,AI/ML,25,8.19,53.47,15.44,9,Medium
129,SaaS,19,3.83,18.705000000000002,2.63,2,Low
130,FinTech,28,26.298,128.18,21.29,5,High
131,E-commerce,10,19.52,28.01,16.91,4,Medium
132,SaaS,31,11.79,58.739999999999995,6.05,3,Low
133,SaaS,28,10.6,38.13,6.19,7,Low
134,E-commerce,12,3.0,68.47,31.16,6,High
135,AI/ML,28,4.38,44.12,34.72,9,High
136,E-commerce,36,0.5,21.09,12.87,5,Medium
137,FinTech,53,13.338000000000001,69.71,15.68,6,Medium
138,HealthTech,43,6.87,73.75,19.0,5,Medium
139,E-commerce,9,7.62,47.99,16.48,7,Medium
140,Blockchain,6,27.38,30.09,1.74,2,Low
141,Blockchain,55,22.5,115.73,19.28,5,Medium
142,E-commerce,52,14.45,60.2,5.88,6,Low
143,FinTech,47,48.024,11.78,7.67,6,Low
144,E-commerce,13,21.13,92.42,20.05,5,High
145,E-commerce,31,6.06,24.33,21.0,7,High
146,SaaS,58,18.54,198.39,6.9,8,Low
147,HealthTech,38,15.69,52.39,10.42,7,Medium
148,FinTech,27,13.824,80.4,9.06,5,Low
149,SaaS,23,1.32,18.6,13.97,1,Medium
150,E-commerce,59,14.76,11.48,14.73,5,Medium
151,AI/ML,38,6.63,90.02,21.68,4,High
152,SaaS,12,9.83,89.295,9.83,5,Low
153,SaaS,39,5.06,166.905,18.73,5,Medium
154,FinTech,11,0.5,64.56,20.07,2,High
155,Blockchain,26,19.51,54.36,16.98,5,Medium
156,SaaS,37,9.67,152.115,12.4,4,Medium
157,HealthTech,51,11.39,80.3,16.81,1,Medium
158,EdTech,37,17.26,44.11,22.52,3,High
159,SaaS,50,9.93,25.77,23.39,1,High
160,HealthTech,38,13.61,21.15,33.15,5,High
161,E-commerce,20,16.53,36.87,5.1,4,Low
162,HealthTech,51,14.53,14.41,10.6,7,Medium
163,HealthTech,41,12.29,127.93,1.13,5,Low
164,FinTech,34,43.668000000000006,30.49,24.31,4,High
165,SaaS,26,19.94,44.505,11.65,2,Medium
166,EdTech,25,9.31,5.0,17.06,4,Medium
167,E-commerce,34,2.72,42.01,8.96,2,Low
168,SaaS,39,15.11,45.089999999999996,11.73,8,Medium
169,SaaS,14,11.73,153.195,27.23,3,High
170,FinTech,51,42.606,55.05,21.94,9,High
171,HealthTech,57,17.9,49.73,13.88,4,Medium
172,SaaS,15,16.11,68.94,22.68,6,High
173,FinTech,25,18.18,73.59,22.9,5,High
174,SaaS,27,2.99,54.644999999999996,11.09,1,Medium
175,HealthTech,37,8.42,70.02,0.31,9,Low
176,SaaS,43,13.81,147.63,6.01,1,Low
177,HealthTech,32,3.84,63.8,1.59,8,Low
178,E-commerce,19,19.93,42.51,26.64,9,High
179,AI/ML,51,26.54,21.4,28.38,11,High
180,SaaS,22,5.56,62.625,30.86,1,High
181,E-commerce,50,1.2,66.89,5.2,2,Low
182,SaaS,27,11.84,6.029999999999999,25.71,1,High
183,AI/ML,24,5.34,74.95,37.12,4,High
184,AI/ML,15,12.09,56.23,26.12,10,High
185,E-commerce,21,9.43,45.52,6.51,5,Low
186,HealthTech,51,1.81,30.22,32.68,7,High
187,EdTech,38,20.31,35.71,15.42,2,Medium
188,FinTech,14,24.696,67.92,12.68,8,Medium
189,FinTech,43,9.936,46.15,19.51,6,Medium
190,SaaS,21,22.04,52.455,4.51,8,Low
191,SaaS,14,5.93,96.09,15.03,1,Medium
192,AI/ML,11,0.5,65.25,31.2,3,High
193,AI/ML,9,11.47,12.52,21.22,9,High
194,HealthTech,30,12.83,67.14,15.58,8,Medium
195,E-commerce,16,14.26,125.05,15.9,3,Medium
196,E-commerce,33,15.57,64.09,3.19,5,Low
197,HealthTech,54,14.13,5.0,13.5,1,Medium
198,AI/ML,21,13.8,55.32,1.34,9,Low
199,AI/ML,49,5.41,5.0,25.22,7,High
200,EdTech,18,4.55,145.02,6.86,8,Low
201,HealthTech,55,15.94,117.07,23.55,8,High
202,SaaS,7,11.95,45.03,24.79,9,High
203,SaaS,37,16.56,26.055,28.19,7,High
204,AI/ML,14,3.66,23.65,15.87,3,Medium
205,HealthTech,27,5.99,44.57,24.17,3,High
206,SaaS,54,25.26,5.0,13.4,8,Medium
207,SaaS,23,14.42,71.895,3.13,3,Low
208,HealthTech,38,12.36,44.37,30.31,8,High
209,SaaS,55,15.66,80.625,14.03,1,Medium
210,SaaS,25,27.67,85.33500000000001,0.9,5,Low
211,FinTech,18,46.764,21.03,10.33,4,Medium
212,HealthTech,59,2.64,24.4,10.73,5,Medium
213,HealthTech,41,0.5,51.37,19.62,8,Medium
214,SaaS,47,2.91,46.605000000000004,38.47,4,High
215,HealthTech,55,4.02,77.22,20.22,4,High
216,SaaS,44,10.44,76.62,17.07,3,Medium
217,E-commerce,41,11.94,105.95,39.56,7,High
218,HealthTech,16,2.24,74.61,24.79,3,High
219,HealthTech,33,4.94,83.11,17.54,3,Medium
220,EdTech,7,3.88,53.98,10.21,5,Medium
221,HealthTech,37,17.33,54.72,18.16,5,Medium
222,FinTech,25,33.696,101.94,14.34,6,Medium
223,SaaS,31,23.65,57.974999999999994,15.91,8,Medium
224,E-commerce,45,9.74,66.4,28.14,6,High
225,E-commerce,13,16.63,42.01,9.6,1,Low
226,SaaS,20,18.08,62.91,20.14,8,High
227,Blockchain,49,6.03,14.93,24.49,8,High
228,E-commerce,14,13.1,27.72,8.38,9,Low
229,AI/ML,11,15.27,22.15,6.77,11,Low
230,HealthTech,12,2.73,67.83,13.5,2,Medium
231,EdTech,46,23.14,81.21,10.38,2,Medium
232,FinTech,19,17.442,47.16,26.52,3,High
233,FinTech,40,19.259999999999998,56.89,4.98,1,Low
234,FinTech,9,4.356,45.43,15.68,4,Medium
235,SaaS,48,3.76,38.519999999999996,40.46,4,High
236,HealthTech,15,7.57,75.87,19.13,9,Medium
237,E-commerce,42,10.44,69.58,20.79,9,High
238,SaaS,44,30.05,10.17,26.61,9,High
239,HealthTech,11,1.85,41.51,10.37,7,Medium
240,SaaS,52,33.81,35.31,4.19,2,Low
241,AI/ML,29,21.31,38.27,16.77,7,Medium
242,Blockchain,4,6.21,29.89,17.65,4,Medium
243,AI/ML,7,10.22,48.61,1.18,10,Low
244,E-commerce,31,8.92,40.1,18.75,2,Medium
245,SaaS,39,23.65,59.205,25.7,6,High
246,AI/ML,40,14.14,83.22,5.87,7,Low
247,E-commerce,21,19.46,66.72,19.36,2,Medium
248,Blockchain,10,12.87,28.88,23.92,1,High
249,Blockchain,50,9.1,33.33,20.87,8,High
250,AI/ML,47,12.61,64.75,21.81,4,High
251,E-commerce,3,6.74,64.71,12.55,7,Medium
252,E-commerce,24,1.62,31.89,3.72,9,Low
253,AI/ML,54,16.51,42.98,10.53,11,Medium
254,E-commerce,19,2.01,105.4,9.14,8,Low
255,SaaS,9,7.85,48.599999999999994,14.2,9,Medium
256,FinTech,27,11.664000000000001,107.32,25.93,2,High
257,AI/ML,47,15.15,83.11,1.88,8,Low
258,HealthTech,6,22.52,101.76,16.44,4,Medium
259,FinTech,38,35.352000000000004,31.13,4.37,4,Low
260,SaaS,8,15.38,67.41,7.6,5,Low
261,HealthTech,33,4.96,36.53,20.59,3,High
262,Blockchain,21,8.53,83.8,3.1,1,Low
263,SaaS,46,7.37,49.455,22.34,8,High
264,FinTech,56,11.232000000000001,71.94,1.48,5,Low
265,AI/ML,41,6.78,70.35,21.67,5,High
266,HealthTech,29,6.57,48.56,0.5,7,Low
267,HealthTech,12,6.21,88.96,8.82,7,Low
268,HealthTech,28,17.62,53.23,33.96,1,High
269,E-commerce,21,1.56,75.02,32.09,9,High
270,E-commerce,41,4.16,35.16,10.87,2,Medium
271,EdTech,5,2.67,28.3,18.9,5,Medium
272,EdTech,47,21.32,71.93,27.04,5,High
273,AI/ML,15,3.63,62.93,21.81,10,High
274,AI/ML,52,15.29,57.3,12.27,10,Medium
275,FinTech,30,24.840000000000003,39.69,7.51,7,Low
276,FinTech,22,36.99,96.48,23.68,7,High
277,EdTech,30,8.32,16.5,26.31,6,High
278,HealthTech,10,2.42,14.86,32.16,6,High
279,HealthTech,43,2.45,78.26,1.87,9,Low
280,EdTech,41,12.28,75.8,2.47,6,Low
281,AI/ML,3,11.29,60.61,26.62,4,High
282,E-commerce,5,16.2,41.36,0.52,2,Low
283,E-commerce,15,13.77,65.07,27.39,5,High
284,SaaS,30,2.24,152.43,12.85,4,Medium
285,FinTech,59,32.958,125.47,9.79,2,Low
286,SaaS,51,4.41,5.0,17.05,3,Medium
287,FinTech,27,4.932,37.43,1.55,7,Low
288,FinTech,58,7.614000000000001,35.55,23.24,8,High
289,E-commerce,35,10.63,98.8,31.9,6,High
290,FinTech,40,3.384,24.44,23.71,5,High
291,SaaS,55,9.7,98.13,12.53,1,Medium
292,SaaS,8,13.44,63.449999999999996,0.38,8,Low
293,EdTech,46,18.86,99.14,0.0,3,Low
294,E-commerce,47,11.41,95.03,1.7,6,Low
295,SaaS,34,0.72,91.455,14.88,3,Medium
296,FinTech,47,20.142,5.0,16.13,7,Medium
297,EdTech,49,1.52,32.78,23.68,7,High
298,SaaS,23,1.06,54.105000000000004,2.96,9,Low
299,HealthTech,18,0.9,10.21,28.11,5,High
300,SaaS,56,5.29,126.96000000000001,21.94,8,High
